POLO;recursos;alt_media;regiones;region_top;jerarquia_media;diametro_km;radio_km;desnivel_m
178;15;186.13333333333333;1;Ica;1.8;51.45905685424805;15.359575627900083;520.0
180;23;22.565217391304348;1;Ica;2.0;59.719032287597656;12.717464423794322;131.0
181;14;4166.285714285715;1;Puno;1.2142857142857142;49.5539665222168;16.52951704556205;544.0
183;10;256.7;1;Huánuco;1.2;36.88444137573242;10.411410213320297;455.0
184;7;4385.714285714285;1;Junín;1.4285714285714286;47.834590911865234;13.959793256529164;169.0
185;5;2543.8;2;Arequipa;1.0;66.6794204711914;25.931493003024137;737.0
187;30;74.93333333333334;1;Moquegua;2.066666666666667;52.93796920776367;11.484635633162535;728.0
188;19;2760.684210526316;1;Áncash;1.736842105263158;67.84036254882812;23.741051031488375;659.0
189;9;106.77777777777777;1;Loreto;1.6666666666666667;57.70912551879883;11.779148205769541;38.0
190;5;3966.2;1;Puno;2.0;52.524658203125;20.864497615251356;95.0
192;5;1030.6;1;San Martín;2.0;29.105079650878906;9.361461055922764;292.0
193;10;3797.2;2;La Libertad;2.1;45.65718078613281;17.844755649891898;471.0
194;10;3881.4;1;Ayacucho;1.1;50.06575012207031;17.852596781883687;674.0
195;5;1140.8;1;Arequipa;1.2;42.99747085571289;15.148378349000788;292.0
198;7;309.0;1;Madre De Dios;2.0;54.28971862792969;15.289617903612797;57.0
199;38;61.63157894736842;1;Lima;1.736842105263158;42.5805778503418;9.869284944242933;413.0
201;14;825.0714285714286;1;Pasco;2.142857142857143;31.409984588623047;4.6095424753249565;707.0
202;37;153.13513513513513;1;Ucayali;1.162162162162162;51.194358825683594;9.178166215633398;21.0
203;19;2127.315789473684;1;Apurímac;1.3157894736842106;28.9793643951416;10.741863664755634;708.0
204;35;3913.457142857143;2;Pasco;1.6285714285714286;43.31276321411133;9.982822439198621;928.0
205;6;933.5;1;Lima;1.6666666666666667;34.7973747253418;14.218122879307947;360.0
206;5;93.6;2;Tacna;1.6;39.12495803833008;8.702568275169384;452.0
207;21;2220.0476190476193;1;Amazonas;1.7619047619047619;46.15258026123047;12.293571224701049;640.0
208;55;916.1636363636363;2;Cusco;1.6363636363636365;40.633201599121094;8.437550348778402;975.0
211;10;3209.6;1;Tacna;1.7;52.304443359375;15.697483496906926;477.0
213;32;3245.25;1;Áncash;1.9375;55.55995178222656;9.686329668272151;716.0
214;19;127.10526315789474;1;Lima;1.7894736842105263;33.18958282470703;9.54105725002553;369.0
217;13;3900.6153846153848;1;Lima;2.076923076923077;41.447547912597656;16.070184215224586;433.0
218;9;52.77777777777778;1;Piura;1.7777777777777777;41.02671432495117;11.482652351463072;75.0
219;13;2692.6923076923076;1;Lima;1.9230769230769231;28.356576919555664;11.428863981072475;571.0
221;6;182.83333333333334;1;Madre De Dios;1.8333333333333333;35.63153076171875;16.62311567301464;32.0
222;7;1511.5714285714287;2;Amazonas;1.4285714285714286;41.72566604614258;13.195267144126694;388.0
223;7;2349.8571428571427;1;Apurímac;1.1428571428571428;41.178314208984375;13.969119208486289;630.0
224;9;464.1111111111111;1;Cusco;2.888888888888889;21.264230728149414;8.541748752405752;191.0
225;10;315.7;1;Ucayali;1.0;26.015451431274414;6.722927903457602;100.0
226;13;3204.230769230769;1;Huancavelica;2.0;42.23167037963867;14.971495368203957;490.0
227;12;3111.6666666666665;1;Cusco;2.1666666666666665;40.784828186035156;14.590482461241775;602.0
