REGIÓN;PROVINCIA;DISTRITO;CODIGO DEL RECURSO;NOMBRE DEL RECURSO;CATEGORÍA;TIPO DE CATEGORÍA;SUB TIPO CATEGORÍA;URL;longitud;latitud;FECHA_DE_CORTE;ALTITUD;DISTANCIA_CAPITAL_KM;INDICE_COSTO_LOGISTICO;ZONA_CLIMATICA
La Libertad;Santiago De Chuco;CACHICADAN;126;Campo Termal Ojo De Aguas Calientes;1. SITIOS NATURALES;k. Agua termo-mineral;Ojos de agua;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=126;-78.14302414655685;-8.093125798052004;20260831;2966.0;96.72;3;Templado Seco (Quechua)
La Libertad;Sanchez Carrion;HUAMACHUCO;127;Laguna Sausacocha;1. SITIOS NATURALES;g. Cuerpo de Agua;Lagunas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=127;-77.98433125019073;-7.800704039251577;20260831;3157.0;119.25;3;Templado Seco (Quechua)
La Libertad;Sanchez Carrion;HUAMACHUCO;128;Complejo Arqueológico De Marcahuamachuco;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Zonas arqueológicas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=128;-78.0801;-7.78354;20260831;3561.0;109.81;3;Frío (Suni)
La Libertad;Trujillo;SIMBAL;130;Fiesta Patronal Del Señor De La Piedad;5. ACONTECIMIENTOS PROGRAMADOS;Fiestas;Fiestas religiosas-patronales;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=130;-78.8149;-7.97679;20260831;577.0;27.09;2;Templado Cálido (Yunga)
La Libertad;Chepen;CHEPEN;132;Cerro Chepén - Vía Crusis;2. MANIFESTACIONES CULTURALES;Otros;Esculturales;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=132;-79.41132900000002;-7.214511;20260831;217.0;108.35;3;Cálido / Desértico (Costa)
La Libertad;Pacasmayo;SAN PEDRO DE LLOC;134;Iglesia Matriz De San Pedro De Lloc;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Iglesias;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=134;-79.50466050429918;-7.431925937088454;20260831;45.0;92.21;3;Cálido / Desértico (Costa)
La Libertad;Pacasmayo;SAN PEDRO DE LLOC;135;El Pellón Sanpedrano;3. FOLCLORE;Artesanía y Artes;Tejidos(lanas, fibras de animales, fibra vegetal. Etc);https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=135;-79.5039;-7.4279;20260831;47.0;92.53;3;Cálido / Desértico (Costa)
La Libertad;Pacasmayo;SAN PEDRO DE LLOC;136;Playa Puémape;1. SITIOS NATURALES;l. Costas;Playas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=136;-79.53953;-7.51939;20260831;0.0;86.93;3;Cálido / Desértico (Costa)
La Libertad;Pacasmayo;SAN JOSÉ;140;Bosque Natural El Cañoncillo ;1. SITIOS NATURALES;n. Áreas Protegidas;Bosques de protección;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=140;-79.42158891;-7.37232825;20260831;113.0;93.03;3;Cálido / Desértico (Costa)
San Martín;Moyobamba;CALZADA;141;Morro De Calzada;1. SITIOS NATURALES;a. Montañas;Cerros;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=141;-77.03750610351568;-6.021409369108987;20260831;1321.0;91.12;3;Templado Cálido (Yunga)
San Martín;Moyobamba;MOYOBAMBA;143;Aguas Termales San Mateo;1. SITIOS NATURALES;k. Agua termo-mineral;Otros;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=143;-76.970802;-6.07481;20260831;953.0;81.68;3;Templado Cálido (Yunga)
Loreto;Maynas;IQUITOS;145;Danza De La Pandilla;3. FOLCLORE;Músicas y Danzas;Música y Danzas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=145;-73.2622;-3.74993;20260831;94.0;1.99;1;Tropical Húmedo (Selva)
Loreto;Maynas;IQUITOS;146;Danza De La Cajada;3. FOLCLORE;Músicas y Danzas;Música y Danzas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=146;-73.2622;-3.74993;20260831;94.0;1.99;1;Tropical Húmedo (Selva)
Loreto;Maynas;IQUITOS;147;Iglesia Matriz De Iquitos;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Iglesias;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=147;-73.2448277;-3.7494471115295824;20260831;104.0;0.07;1;Tropical Húmedo (Selva)
Loreto;Maynas;IQUITOS;148;Casa Morey;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Casa de Valor Arquitectónico;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=148;-73.242046;-3.746774;20260831;98.0;0.36;1;Tropical Húmedo (Selva)
