CODIGO DEL RECURSO;NOMBRE DEL RECURSO;REGIÓN;latitud;longitud;ALTITUD;ZONA_CLIMATICA;CLUSTER;CLUSTER_KM
10349;Bosque De Piedras Shuquil;Huánuco;-10.036389;-76.6475;3798.0;Frío (Suni);62;5
10351;Grutas De Colpa;Huánuco;-9.895;-76.748056;3707.0;Frío (Suni);62;5
10347;Sitio Arqueológico Gongui;Huánuco;-10.007778;-76.683889;3502.0;Frío (Suni);62;5
12281;Mirador Chico Morada ;Ayacucho;-13.046658;-74.117131;3518.0;Frío (Suni);-1;15
10353;Mayantuyacu;Huánuco;-8.8119;-74.72767;227.0;Cálido / Desértico (Costa);60;26
10348;Comunidad Nativa Ashaninka El Naranjal;Huánuco;-8.986978;-74.753606;181.0;Cálido / Desértico (Costa);60;26
10341;Quebrada Llullabaños;Huánuco;-9.169647;-74.84055;203.0;Cálido / Desértico (Costa);60;26
10338;Sitio Arqueológico Nunash;Huánuco;-9.727286;-76.776072;3497.0;Templado Seco (Quechua);62;5
13277;Museo Chanka De Andahuaylas ;Apurímac;-13.661505;-73.386436;3021.0;Templado Seco (Quechua);71;23
13282;Sala De Interpretación José María Arguedas ;Apurímac;-13.657244;-73.387913;2894.0;Templado Seco (Quechua);71;23
13276;Mirador Apu Huayhuaca;Apurímac;-13.66068490632;-73.38619351452;2982.0;Templado Seco (Quechua);71;23
10301;Laguna Ururi;Lima;-11.99774;-76.42544;3828.0;Frío (Suni);68;0
10300;Camino Inca De San Andres De Tupicocha;Lima;-12.0007934;-76.4743831;3304.0;Templado Seco (Quechua);68;0
11500;Cataratas De Chaquiorco   ;Cusco;-13.129722;-72.598611;1836.0;Templado Cálido (Yunga);-1;24
13054;Campo De La Batalla De Acarí;Arequipa;-15.446817;-74.635073;188.0;Cálido / Desértico (Costa);50;11
10337;Laguna Asiaj;Huánuco;-8.699136;-77.008175;3359.0;Templado Seco (Quechua);-1;28
12907;Campo De Batalla Pampas De Purrumpampa;La Libertad;-7.8135693;-78.0395415;3157.0;Templado Seco (Quechua);49;28
11070;Museo Imasumaq ;La Libertad;-7.82225487;-78.05342394;3227.0;Templado Seco (Quechua);49;28
11054;Plaza Mayor De Huamachuco;La Libertad;-7.815607818203919;-78.0486612175622;3171.0;Templado Seco (Quechua);49;28
11848;Camino Inka Jungle Tramo Santa Maria La Antigua Cocalmayo;Cusco;-13.1303;-72.5942;1560.0;Templado Cálido (Yunga);-1;24
11847;Qhapaq Ñan Tramo Choquetakarpu- Choquequirao;Cusco;-13.394742;-72.872243;2979.0;Templado Seco (Quechua);-1;18
13959;Plaza De Armas Huarocondo;Cusco;-13.415454;-72.207616;3343.0;Templado Seco (Quechua);80;23
10314;Comunidad De Vista Alegre;Loreto;-3.88042;-70.28976;66.0;Tropical Húmedo (Selva);14;7
10317;Comunidad De Puerto Alegría;Loreto;-4.11904;-70.05167;65.0;Tropical Húmedo (Selva);14;7
