POLO;recursos;jerarquia;lejania;region;regiones;saturacion;novedad;limpio;s;puntaje
104;32;2.03125;32;LIMA;1;1.0;0.059734513274336286;False;0.17440344500632116;0.32729535398230086
79;28;1.5357142857142858;28;APURÍMAC;1;0.0;0.5508849557522124;True;0.4544970200469568;0.32597977243994947
137;35;2.0;35;CUSCO;1;1.0;0.06637168141592921;False;0.17503160556257902;0.3199115044247787
148;9;1.5555555555555556;9;APURÍMAC;1;0.0;0.5088495575221239;True;0.4276232616940582;0.3193215339233038
20;11;1.5454545454545454;11;TACNA;2;0.0;0.5132743362831859;True;0.4294219055281002;0.31761866452131937
109;13;1.5384615384615385;13;LORETO;1;0.0;0.5176991150442478;True;0.43162014976174273;0.31684819605173586
15;15;1.5333333333333334;15;HUÁNUCO;1;0.0;0.5221238938053098;True;0.4340581542351454;0.31663716814159293
115;45;1.4666666666666666;45;MOQUEGUA;2;0.0;0.588495575221239;True;0.4719469026548673;0.31654867256637165
22;36;1.5;36;HUÁNUCO;3;0.05555555555555555;0.5408062930186823;False;0.4428501193987919;0.3122418879056047
88;14;1.5;14;APURÍMAC;1;0.0;0.5199115044247787;True;0.4282237673830594;0.3059734513274336
249;10;1.5;10;MOQUEGUA;2;0.0;0.5110619469026548;True;0.42202907711757265;0.3033185840707964
67;8;1.5;8;LA LIBERTAD;2;0.0;0.5066371681415929;True;0.41893173198482925;0.3019911504424778
87;6;1.5;6;PUNO;1;0.0;0.5022123893805309;True;0.4158343868520859;0.30066371681415927
245;6;1.5;6;LORETO;1;0.0;0.5022123893805309;True;0.4158343868520859;0.30066371681415927
167;25;1.44;25;AYACUCHO;2;0.0;0.5442477876106194;True;0.43754487989886215;0.2952743362831858
16;11;1.4545454545454546;11;PUNO;1;0.0;0.5132743362831859;True;0.41773359383978853;0.29034593724859215
66;11;1.4545454545454546;11;PASCO;1;0.0;0.5132743362831859;True;0.41773359383978853;0.29034593724859215
256;25;1.92;25;CUSCO;1;1.0;0.04424778761061947;False;0.14925916561314792;0.28927433628318583
176;9;1.4444444444444444;9;MOQUEGUA;1;0.0;0.5088495575221239;True;0.4133375474083439;0.28598820058997043
92;19;1.4210526315789473;19;CAJAMARCA;1;0.0;0.5309734513274337;True;0.4258167542750682;0.2856078248719143
126;14;1.4285714285714286;14;HUÁNUCO;2;0.0;0.5199115044247787;True;0.41904009391367164;0.2845448798988622
219;13;1.9230769230769231;13;LIMA;1;1.0;0.017699115044247787;False;0.13107069921229214;0.2822328114363512
12;7;1.4285714285714286;7;PUNO;1;0.0;0.504424778761062;True;0.40819938594906985;0.27989886219974713
124;7;1.5714285714285714;7;APURÍMAC;2;0.2857142857142857;0.3615676359039191;False;0.3265667328878454;0.27989886219974713
132;7;1.4285714285714286;7;PIURA;1;0.0;0.504424778761062;True;0.40819938594906985;0.27989886219974713
184;7;1.4285714285714286;7;JUNÍN;1;0.0;0.504424778761062;True;0.40819938594906985;0.27989886219974713
222;7;1.4285714285714286;7;AMAZONAS;2;0.0;0.504424778761062;True;0.40819938594906985;0.27989886219974713
248;7;1.4285714285714286;7;AREQUIPA;1;0.0;0.504424778761062;True;0.40819938594906985;0.27989886219974713
