CLUSTER;n;alt;la;lo;regs;top;radio_km
70;61;3427.622950819672;-14.228385432544762;-73.6927852546917;2;Apurímac;45.75344339332768
71;22;2955.1363636363635;-13.645651179336646;-73.35707057274611;1;Apurímac;6.8823025990421005
72;47;3953.6382978723404;-14.8153441507791;-70.23362985212064;1;Puno;41.63774929523164
73;140;3647.7642857142855;-11.946543968437595;-75.43297953238115;2;Junín;29.890514006140684
74;30;4629.4;-13.798396765131733;-71.21037379916865;1;Cusco;17.507885719784536
75;32;3721.34375;-14.288187723332202;-71.34006541697912;1;Cusco;22.49259328190834
76;55;3572.418181818182;-15.596922920574714;-71.67994012020974;1;Arequipa;16.00572136462461
77;46;3441.5652173913045;-13.503905558272827;-74.17856245098476;1;Ayacucho;30.268021697263986
78;23;2646.695652173913;-12.958373788278974;-74.21854015927904;1;Ayacucho;7.896333768544442
79;48;3046.5;-13.53408137918783;-71.86610685026344;1;Cusco;32.111258325020124
